,tanggal_tweet,pengguna,Tweet,sentimen
0,2022-10-30 15:25:00+00:00,Qweensolo,Akhirnya ktemu minyak yg ampuh ilngin gatal gigitan nyamuk setan dsini😍. Gara2 temen kasi coba tadi. Wahhh langsung… https://t.co/ooybu2KB35,0
1,2022-10-30 15:24:19+00:00,tuankurakyat,"RT @sahabatganjarid: Tampil Gagah sekaligus menambah percaya diri kamu dengan kemeja warna army dari Sahabat Ganjar.

Segera beli melalui S…",0
2,2022-10-30 15:24:09+00:00,Apriant89116037,"RT @nadilawantari_: [NEWS] Hari ini Nadila Wantari akan Live di Aplikasi Tokopedia, untuk berbincang-bincang dan juga akan menyanyikan bebe…",1
3,2022-10-30 15:23:38+00:00,PijatRovos,https://t.co/9uB8DiysT6 Cek harga grosir gulaku,0
4,2022-10-30 15:23:38+00:00,pijatinf,https://t.co/gyzEK2PMUz https://t.co/B8QSt5Htjg qanun kabupaten aceh tengah nomor 4 tahun 2011,0
5,2022-10-30 15:22:15+00:00,fernandofarlin,"Ikut aku kejar hadiah dengan total nilai puluhan juta Rupiah lewat Panen Telur, yuk! Klik di sini:… https://t.co/xjba2TcxMe",0
6,2022-10-30 15:20:08+00:00,chopeedia,@twayboo_ @ohmybeautybank Ini nder link tokpednya yg butuh https://t.co/yEf2o9jY1M,0
7,2022-10-30 15:19:05+00:00,RaraArumNingrum,"RT @Lenspp: ✨Produk Ampuh Untuk Bekas Luka✨

1 Serum badan Musk thahara
🖇https://t.co/o8Qqcv6gHt

2 Vaseline gluta hya
🖇https://t.co/YzcACC…",0
8,2022-10-30 15:17:54+00:00,ismy_giana,"Semakin mudah belanja produk Iklilah Shop di Tokopedia. Cek aja, pasti ada yang kamu suka
https://t.co/2sprhGypXV https://t.co/Hgiz3PKAi1",0
9,2022-10-30 15:13:28+00:00,yp_orgsukses,"RT @jayparkgf9: 🌷 rekomendasi sling bag wanita 🌷

1. https://t.co/a6zK56bKkp
2. https://t.co/fIAaQI04O1
3. https://t.co/vhsW91BMMN
4. https…",0
10,2022-10-30 15:13:25+00:00,onechwan,"RT @akusayangdk: Hai MY👋🏼
Siapa nih yg cari aebong? Yuk bisa cek disini stoknya ready &amp; official ya buruan sebelum habis!
1 https://t.co/S9…",1
